index,date,points,fgp
974,2002-02-05,23,.476
975,2002-02-07,25,.400
976,2002-02-12,22,.400
977,2002-02-14,16,.333
978,2002-02-15,22,.368
979,2002-02-18,11,.417
980,2002-02-21,16,.412
981,2002-02-23,37,.520
982,2002-02-24,9,.308
983,2002-03-20,7,.222
984,2002-03-21,11,.333
985,2002-03-24,14,.353
986,2002-03-26,9,.444
987,2002-03-29,34,.545
988,2002-03-31,10,.286
989,2002-04-02,2,.200
990,2002-10-30,8,.286
991,2002-10-31,21,.533
992,2002-11-02,21,.438
993,2002-11-05,10,.357
994,2002-11-06,6,.333
995,2002-11-08,25,.643
996,2002-11-09,12,.455
997,2002-11-12,27,.591
998,2002-11-14,19,.412
999,2002-11-16,8,.800
1000,2002-11-17,19,.563
1001,2002-11-22,8,.267
1002,2002-11-23,20,.500
1003,2002-11-26,28,.476
1004,2002-11-29,14,.400
1005,2002-11-30,16,.400
1006,2002-12-03,25,.450
1007,2002-12-04,21,.357
1008,2002-12-06,16,.333
1009,2002-12-07,20,.500
1010,2002-12-10,14,.600
1011,2002-12-13,12,.250
1012,2002-12-15,2,.111
1013,2002-12-17,30,.667
1014,2002-12-18,33,.609
1015,2002-12-21,16,.400
1016,2002-12-23,13,.333
1017,2002-12-26,17,.412
1018,2002-12-28,10,.400
1019,2002-12-30,21,.471
1020,2002-12-31,17,.467
1021,2003-01-02,10,.364
1022,2003-01-04,41,.538
1023,2003-01-06,19,.389
1024,2003-01-08,14,.385
1025,2003-01-10,14,.412
1026,2003-01-11,23,.320
1027,2003-01-14,22,.348
1028,2003-01-16,32,.480
1029,2003-01-18,25,.400
1030,2003-01-20,25,.500
1031,2003-01-22,18,.429
1032,2003-01-24,11,.286
1033,2003-01-25,17,.444
1034,2003-01-27,19,.643
1035,2003-01-29,8,.250
1036,2003-01-30,24,.458
1037,2003-02-01,45,.545
1038,2003-02-04,27,.500
1039,2003-02-11,12,.263
1040,2003-02-12,23,.333
1041,2003-02-14,11,.250
1042,2003-02-19,20,.348
1043,2003-02-21,43,.600
1044,2003-02-23,30,.538
1045,2003-02-25,25,.440
1046,2003-02-27,35,.577
1047,2003-03-01,17,.389
1048,2003-03-02,21,.333
1049,2003-03-04,4,.400
1050,2003-03-05,10,.286
1051,2003-03-07,27,.458
1052,2003-03-09,39,.591
1053,2003-03-11,23,.556
1054,2003-03-14,15,.333
1055,2003-03-15,19,.500
1056,2003-03-18,23,.400
1057,2003-03-21,14,.333
1058,2003-03-23,24,.478
1059,2003-03-25,25,.579
1060,2003-03-26,26,.545
1061,2003-03-28,23,.500
1062,2003-03-30,19,.391
1063,2003-04-02,17,.471
1064,2003-04-03,22,.435
1065,2003-04-06,25,.455
1066,2003-04-08,26,.526
1067,2003-04-09,21,.471
1068,2003-04-11,25,.423
1069,2003-04-12,17,.500
1070,2003-04-14,21,.409
1071,2003-04-16,15,.400
