index,date,points,fgp,result
696,1995-11-27,33,.591,W (+3)
697,1995-11-30,29,.538,W (+6)
698,1995-12-02,37,.591,W (+6)
699,1995-12-06,22,.296,W (+7)
700,1995-12-08,28,.478,W (+19)
701,1995-12-09,45,.571,W (+12)
702,1995-12-13,36,.500,W (+9)
703,1995-12-14,22,.500,W (+19)
704,1995-12-16,20,.250,W (+20)
705,1995-12-18,37,.593,W (+9)
706,1995-12-19,32,.522,W (+13)
707,1995-12-22,27,.474,W (+9)
708,1995-12-23,30,.545,W (+14)
709,1995-12-26,30,.393,L (-6)
710,1995-12-29,29,.400,W (+27)
711,1995-12-30,33,.519,W (+2)
712,1996-01-03,38,.586,W (+14)
713,1996-01-04,27,.550,W (+24)
714,1996-01-06,32,.500,W (+29)
715,1996-01-10,35,.560,W (+26)
716,1996-01-13,48,.643,W (+27)
717,1996-01-15,46,.516,W (+7)
718,1996-01-16,32,.591,W (+12)
719,1996-01-18,38,.500,W (+3)
720,1996-01-21,36,.522,W (+15)
721,1996-01-23,33,.565,W (+20)
722,1996-01-24,12,.400,W (+20)
723,1996-01-26,25,.476,W (+22)
724,1996-01-28,31,.520,W (+11)
725,1996-01-30,22,.269,W (+11)
726,1996-02-01,27,.438,W (+20)
727,1996-02-02,17,.471,W (+15)
728,1996-02-04,39,.448,L (-6)
729,1996-02-06,28,.409,L (-10)
730,1996-02-07,40,.484,W (+4)
731,1996-02-13,32,.478,W (+13)
732,1996-02-15,32,.333,W (+3)
733,1996-02-16,35,.565,W (+3)
734,1996-02-18,44,.552,W (+8)
735,1996-02-20,14,.316,W (+26)
736,1996-02-22,34,.577,W (+5)
737,1996-02-23,31,.429,L (-9)
738,1996-02-25,23,.421,W (+20)
739,1996-02-27,35,.458,W (+21)
740,1996-03-01,17,.412,W (+23)
741,1996-03-02,21,.533,W (+32)
742,1996-03-05,33,.600,W (+9)
743,1996-03-07,53,.750,W (+21)
744,1996-03-10,32,.462,L (-32)
745,1996-03-13,37,.480,W (+17)
746,1996-03-15,33,.636,W (+21)
747,1996-03-16,37,.483,W (+4)
748,1996-03-18,38,.469,W (+4)
749,1996-03-19,20,.438,W (+22)
750,1996-03-21,36,.583,W (+21)
751,1996-03-24,36,.636,L (-1)
752,1996-03-28,13,.417,W (+31)
753,1996-03-30,21,.400,W (+21)
754,1996-04-02,32,.478,W (+18)
755,1996-04-04,40,.542,W (+8)
756,1996-04-05,24,.625,W (+34)
757,1996-04-07,27,.333,W (+4)
758,1996-04-08,40,.481,L (-1)
759,1996-04-11,17,.444,W (+13)
760,1996-04-12,23,.625,W (+30)
761,1996-04-14,32,.611,W (+26)
762,1996-04-16,22,.333,W (+6)
763,1996-04-18,30,.611,W (+31)
764,1996-04-20,24,.391,L (-1)
765,1996-04-21,26,.500,W (+10)
766,1996-11-01,30,.455,W (+9)
767,1996-11-02,27,.550,W (+29)
768,1996-11-05,22,.500,W (+23)
769,1996-11-06,50,.545,W (+6)
770,1996-11-08,15,.429,W (+18)
771,1996-11-09,27,.435,W (+12)
772,1996-11-11,26,.571,W (+18)
773,1996-11-13,28,.348,W (+32)
774,1996-11-15,38,.600,W (+23)
775,1996-11-16,25,.478,W (+28)
776,1996-11-20,37,.552,W (+14)
777,1996-11-21,31,.522,W (+18)
778,1996-11-23,44,.531,L (-5)
779,1996-11-25,40,.538,W (+4)
780,1996-11-29,36,.565,W (+19)
781,1996-11-30,35,.400,W (+9)
782,1996-12-03,40,.481,W (+3)
783,1996-12-05,20,.429,W (+18)
784,1996-12-07,37,.533,L (-3)
785,1996-12-08,13,.294,L (-8)
786,1996-12-11,27,.625,W (+17)
787,1996-12-13,32,.474,W (+21)
788,1996-12-14,29,.385,W (+5)
789,1996-12-17,30,.313,W (+6)
790,1996-12-19,35,.481,W (+21)
791,1996-12-21,31,.414,W (+6)
792,1996-12-23,24,.556,W (+32)
793,1996-12-25,23,.429,W (+12)
794,1996-12-26,34,.400,L (-5)
795,1996-12-28,45,.520,W (+5)
796,1996-12-30,28,.414,W (+2)
797,1997-01-03,22,.556,W (+21)
798,1997-01-06,23,.400,W (+13)
799,1997-01-10,33,.478,W (+15)
800,1997-01-11,32,.480,W (+24)
801,1997-01-14,39,.519,W (+1)
802,1997-01-15,25,.545,W (+10)
803,1997-01-17,24,.667,W (+27)
804,1997-01-19,26,.320,L (-16)
805,1997-01-21,51,.600,W (+1)
806,1997-01-23,32,.417,W (+16)
807,1997-01-25,24,.625,W (+12)
808,1997-01-28,28,.632,W (+15)
809,1997-01-30,32,.579,W (+18)
810,1997-01-31,18,.471,W (+23)
811,1997-02-02,45,.679,W (+7)
812,1997-02-04,36,.500,W (+4)
813,1997-02-05,27,.417,L (-16)
814,1997-02-11,43,.667,W (+3)
815,1997-02-14,30,.464,W (+1)
816,1997-02-16,19,.400,W (+21)
817,1997-02-18,24,.556,W (+11)
818,1997-02-21,36,.464,W (+4)
819,1997-02-22,34,.684,W (+33)
820,1997-02-24,37,.481,W (+27)
821,1997-02-27,23,.280,L (-3)
822,1997-02-28,35,.650,W (+18)
823,1997-03-03,31,.579,W (+18)
824,1997-03-05,16,.412,W (+42)
825,1997-03-07,38,.524,W (+8)
826,1997-03-09,36,.452,L (-4)
827,1997-03-11,32,.565,W (+11)
828,1997-03-12,23,.375,W (+4)
829,1997-03-14,36,.471,L (-1)
830,1997-03-15,10,.455,W (+20)
831,1997-03-18,32,.357,W (+2)
832,1997-03-21,36,.440,W (+19)
833,1997-03-22,23,.400,W (+15)
834,1997-03-25,20,.450,W (+2)
835,1997-03-27,12,.294,W (+13)
836,1997-03-29,21,.429,W (+10)
837,1997-04-01,21,.727,W (+5)
838,1997-04-03,34,.467,L (-8)
839,1997-04-04,22,.563,W (+13)
840,1997-04-06,37,.591,W (+16)
841,1997-04-07,30,.520,W (+26)
842,1997-04-09,23,.421,W (+6)
843,1997-04-10,34,.462,W (+2)
844,1997-04-13,18,.438,L (-17)
845,1997-04-14,30,.500,W (+17)
846,1997-04-16,26,.407,L (-10)
847,1997-04-19,33,.636,L (-2)
848,1997-10-31,30,.304,L (-7)
849,1997-11-01,16,.500,W (+20)
850,1997-11-03,29,.308,W (+4)
851,1997-11-05,29,.440,W (+13)
852,1997-11-07,27,.440,L (-2)
853,1997-11-08,15,.385,W (+13)
854,1997-11-11,19,.412,L (-21)
855,1997-11-12,28,.357,L (-7)
856,1997-11-14,28,.500,W (+13)
857,1997-11-15,27,.423,W (+9)
858,1997-11-20,30,.481,L (-4)
859,1997-11-21,49,.474,W (+9)
860,1997-11-23,33,.579,W (+15)
861,1997-11-25,26,.440,L (-1)
862,1997-11-28,26,.423,L (-11)
863,1997-11-29,29,.476,W (+5)
864,1997-12-03,29,.524,W (+10)
865,1997-12-05,13,.250,W (+22)
866,1997-12-09,29,.435,W (+18)
867,1997-12-10,25,.353,L (-8)
868,1997-12-12,28,.500,L (-2)
869,1997-12-13,11,.250,W (+27)
870,1997-12-15,31,.435,W (+7)
871,1997-12-17,36,.545,W (+21)
872,1997-12-20,24,.435,W (+8)
873,1997-12-23,27,.375,W (+5)
874,1997-12-25,24,.400,W (+10)
875,1997-12-27,47,.692,W (+7)
876,1997-12-29,41,.552,W (+6)
877,1997-12-30,33,.393,L (-4)
878,1998-01-02,44,.682,W (+14)
879,1998-01-03,34,.480,W (+9)
880,1998-01-06,19,.385,W (+11)
881,1998-01-07,26,.444,L (-27)
882,1998-01-09,44,.515,W (+1)
883,1998-01-10,32,.419,W (+5)
884,1998-01-13,40,.444,W (+10)
885,1998-01-15,20,.391,L (-10)
886,1998-01-16,27,.500,W (+10)
887,1998-01-18,45,.552,W (+6)
888,1998-01-21,33,.609,W (+31)
889,1998-01-23,32,.435,W (+2)
890,1998-01-25,32,.500,L (-7)
891,1998-01-27,20,.467,W (+18)
892,1998-01-29,29,.458,W (+13)
893,1998-01-30,14,.118,W (+7)
894,1998-02-01,31,.423,L (-25)
895,1998-02-02,15,.500,W (+39)
896,1998-02-04,40,.459,L (-8)
897,1998-02-10,18,.381,W (+7)
898,1998-02-11,29,.500,W (+2)
899,1998-02-13,37,.636,W (+2)
900,1998-02-15,21,.412,W (+9)
901,1998-02-17,27,.565,W (+8)
902,1998-02-19,16,.556,W (+37)
903,1998-02-21,19,.348,W (+6)
904,1998-02-23,17,.500,W (+22)
905,1998-02-25,33,.346,L (-5)
906,1998-02-28,28,.588,W (+15)
907,1998-03-03,30,.632,W (+28)
908,1998-03-08,42,.515,W (+13)
909,1998-03-10,37,.567,W (+15)
910,1998-03-12,26,.417,L (-7)
911,1998-03-14,30,.545,W (+10)
912,1998-03-16,17,.400,W (+16)
913,1998-03-17,35,.500,W (+6)
914,1998-03-20,24,.615,W (+6)
915,1998-03-22,33,.464,W (+2)
916,1998-03-23,24,.500,W (+23)
917,1998-03-25,17,.381,W (+15)
918,1998-03-27,34,.500,W (+15)
919,1998-03-29,30,.542,W (+17)
920,1998-03-31,26,.423,W (+5)
921,1998-04-03,41,.640,W (+14)
922,1998-04-05,40,.581,W (+15)
923,1998-04-07,30,.524,W (+18)
924,1998-04-09,29,.417,L (-6)
925,1998-04-11,37,.600,W (+9)
926,1998-04-13,27,.368,L (-9)
927,1998-04-15,19,.280,L (-8)
928,1998-04-17,24,.474,W (+7)
929,1998-04-18,44,.458,W (+2)
930,2001-10-30,19,.333,L (-2)
931,2001-11-01,31,.433,W (+10)
932,2001-11-03,20,.333,W (+14)
933,2001-11-04,19,.444,L (-22)
934,2001-11-07,32,.462,L (-9)
935,2001-11-09,32,.433,L (-9)
936,2001-11-11,16,.192,L (-15)
937,2001-11-14,31,.500,L (-9)
938,2001-11-16,44,.515,L (-9)
939,2001-11-20,30,.565,L (-7)
940,2001-11-22,21,.308,L (-7)
941,2001-11-24,17,.292,W (+4)
942,2001-11-27,18,.375,L (-19)
943,2001-11-28,30,.407,W (+7)
944,2001-11-30,22,.500,W (+9)
945,2001-12-01,15,.316,L (-9)
946,2001-12-06,18,.391,W (+3)
947,2001-12-08,21,.333,W (+7)
948,2001-12-11,16,.421,W (+10)
949,2001-12-12,25,.391,W (+2)
950,2001-12-14,19,.421,W (+16)
951,2001-12-16,21,.381,W (+5)
952,2001-12-19,23,.579,W (+27)
953,2001-12-21,12,.188,W (+18)
954,2001-12-22,26,.500,W (+1)
955,2001-12-26,28,.393,L (-6)
956,2001-12-27,6,.200,L (-27)
957,2001-12-29,51,.553,W (+17)
958,2001-12-31,45,.500,W (+22)
959,2002-01-04,29,.375,W (+6)
960,2002-01-08,18,.375,W (+8)
961,2002-01-11,22,.417,L (-19)
962,2002-01-12,35,.467,L (-8)
963,2002-01-15,20,.238,L (-5)
964,2002-01-16,10,.286,L (-44)
965,2002-01-19,16,.333,W (+8)
966,2002-01-21,29,.353,L (-4)
967,2002-01-22,30,.519,L (-7)
968,2002-01-24,40,.621,W (+9)
969,2002-01-26,41,.567,W (+10)
970,2002-01-29,32,.433,L (-3)
971,2002-01-31,26,.407,W (+1)
972,2002-02-01,28,.417,W (+7)
973,2002-02-03,23,.579,W (+20)
974,2002-02-05,23,.476,W (+5)
975,2002-02-07,25,.400,W (+7)
976,2002-02-12,22,.400,L (-9)
977,2002-02-14,16,.333,L (-16)
978,2002-02-15,22,.368,W (+1)
979,2002-02-18,11,.417,L (-13)
980,2002-02-21,16,.412,L (-11)
981,2002-02-23,37,.520,L (-2)
982,2002-02-24,9,.308,L (-12)
983,2002-03-20,7,.222,W (+32)
984,2002-03-21,11,.333,L (-15)
985,2002-03-24,14,.353,L (-1)
986,2002-03-26,9,.444,W (+16)
987,2002-03-29,34,.545,W (+9)
988,2002-03-31,10,.286,L (-7)
989,2002-04-02,2,.200,L (-20)
990,2002-10-30,8,.286,L (-6)
991,2002-10-31,21,.533,W (+45)
992,2002-11-02,21,.438,L (-8)
993,2002-11-05,10,.357,L (-4)
994,2002-11-06,6,.333,W (+7)
995,2002-11-08,25,.643,W (+1)
996,2002-11-09,12,.455,W (+14)
997,2002-11-12,27,.591,L (-6)
998,2002-11-14,19,.412,W (+3)
999,2002-11-16,8,.800,W (+30)
1000,2002-11-17,19,.563,L (-16)
1001,2002-11-22,8,.267,L (-7)
1002,2002-11-23,20,.500,L (-11)
1003,2002-11-26,28,.476,L (-4)
1004,2002-11-29,14,.400,L (-16)
1005,2002-11-30,16,.400,L (-1)
1006,2002-12-03,25,.450,W (+25)
1007,2002-12-04,21,.357,W (+5)
1008,2002-12-06,16,.333,L (-10)
1009,2002-12-07,20,.500,W (+3)
1010,2002-12-10,14,.600,L (-19)
1011,2002-12-13,12,.250,L (-14)
1012,2002-12-15,2,.111,W (+13)
1013,2002-12-17,30,.667,W (+10)
1014,2002-12-18,33,.609,W (+18)
1015,2002-12-21,16,.400,L (-11)
1016,2002-12-23,13,.333,L (-6)
1017,2002-12-26,17,.412,L (-5)
1018,2002-12-28,10,.400,W (+8)
1019,2002-12-30,21,.471,L (-17)
1020,2002-12-31,17,.467,W (+2)
1021,2003-01-02,10,.364,W (+25)
1022,2003-01-04,41,.538,W (+3)
1023,2003-01-06,19,.389,W (+5)
1024,2003-01-08,14,.385,W (+3)
1025,2003-01-10,14,.412,L (-5)
1026,2003-01-11,23,.320,W (+5)
1027,2003-01-14,22,.348,L (-9)
1028,2003-01-16,32,.480,W (+15)
1029,2003-01-18,25,.400,L (-8)
1030,2003-01-20,25,.500,W (+15)
1031,2003-01-22,18,.429,L (-9)
1032,2003-01-24,11,.286,L (-7)
1033,2003-01-25,17,.444,L (-8)
1034,2003-01-27,19,.643,W (+5)
1035,2003-01-29,8,.250,L (-8)
1036,2003-01-30,24,.458,L (-7)
1037,2003-02-01,45,.545,W (+5)
1038,2003-02-04,27,.500,W (+9)
1039,2003-02-11,12,.263,L (-19)
1040,2003-02-12,23,.333,W (+4)
1041,2003-02-14,11,.250,L (-32)
1042,2003-02-19,20,.348,L (-12)
1043,2003-02-21,43,.600,W (+3)
1044,2003-02-23,30,.538,L (-5)
1045,2003-02-25,25,.440,W (+5)
1046,2003-02-27,35,.577,W (+2)
1047,2003-03-01,17,.389,W (+8)
1048,2003-03-02,21,.333,L (-10)
1049,2003-03-04,4,.400,L (-3)
1050,2003-03-05,10,.286,W (+19)
1051,2003-03-07,27,.458,L (-3)
1052,2003-03-09,39,.591,L (-1)
1053,2003-03-11,23,.556,W (+1)
1054,2003-03-14,15,.333,L (-10)
1055,2003-03-15,19,.500,W (+7)
1056,2003-03-18,23,.400,L (-4)
1057,2003-03-21,14,.333,L (-26)
1058,2003-03-23,24,.478,L (-6)
1059,2003-03-25,25,.579,W (+4)
1060,2003-03-26,26,.545,W (+6)
1061,2003-03-28,23,.500,L (-14)
1062,2003-03-30,19,.391,L (-16)
1063,2003-04-02,17,.471,L (-6)
1064,2003-04-03,22,.435,L (-2)
1065,2003-04-06,25,.455,W (+1)
1066,2003-04-08,26,.526,W (+9)
1067,2003-04-09,21,.471,L (-4)
1068,2003-04-11,25,.423,W (+4)
1069,2003-04-12,17,.500,L (-1)
1070,2003-04-14,21,.409,L (-14)
1071,2003-04-16,15,.400,L (-20)
